policy,variant,mean_reward,reward_std,mean_episode_length,episode_length_std,mean_waypoint_progress,waypoint_progress_std,mean_edge_violation,edge_violation_std,completed_episodes
student,beam_base,36.112660,2.618419,964.648438,60.068992,0.877232,0.139736,0.000000,0.000000,256
teacher,beam_base,36.455479,2.618148,961.765625,61.771684,0.886161,0.139308,0.000000,0.000000,256
student,beam_hard,3.539120,1.049845,1034.287333,266.733772,0.031619,0.059306,0.050000,0.217945,1500
teacher,beam_hard,6.517743,1.450238,879.033543,371.391443,0.155136,0.041097,0.000000,0.000000,477
student,beam_medium,35.469503,2.866244,963.316406,62.751279,0.872768,0.143674,0.000000,0.000000,256
teacher,beam_medium,35.922602,2.753187,958.382812,65.079393,0.889509,0.137992,0.000000,0.000000,256
student,gap_base,24.011573,8.645503,909.997093,276.735926,0.890781,0.232341,0.170667,0.450414,344
teacher,gap_base,30.269982,4.542772,916.535461,198.490067,0.998987,0.011988,0.140667,0.385849,282
student,gap_hard,13.584535,8.593642,815.293823,393.906730,0.491534,0.287358,0.142667,0.420689,599
teacher,gap_hard,20.566814,9.830745,921.261072,332.408637,0.651349,0.320385,0.138000,0.390243,429
student,gap_medium,18.774880,10.085450,900.943262,334.768876,0.701114,0.307150,0.216000,0.499344,423
teacher,gap_medium,24.994796,9.324932,913.921687,260.588921,0.822289,0.278440,0.148667,0.439581,332
student,hurdle_base,25.040405,6.909460,960.071970,123.543370,0.910714,0.196182,0.194000,0.426260,264
teacher,hurdle_base,30.636225,4.569738,926.011494,118.994359,0.975369,0.076703,0.248000,0.535253,261
student,hurdle_hard,8.417188,3.839422,930.135734,321.823176,0.406806,0.186403,0.186000,0.431359,361
teacher,hurdle_hard,10.114462,3.540751,946.888514,237.115557,0.438224,0.191995,0.174667,0.418121,296
student,hurdle_medium,14.191560,6.264184,935.739865,237.457414,0.621622,0.262768,0.167333,0.469751,296
teacher,hurdle_medium,19.478918,6.787284,947.170648,214.046959,0.827401,0.272270,0.103333,0.345430,293
student,step_base,12.592351,5.150388,890.253465,350.119258,0.829703,0.246566,0.100000,0.329646,505
teacher,step_base,19.558921,5.594351,910.684211,330.887015,0.992203,0.067483,0.198667,0.466760,513
student,step_hard,10.663745,5.030198,865.720562,368.189615,0.727843,0.296971,0.131333,0.367992,569
teacher,step_hard,16.369829,5.925394,899.515873,336.509636,0.923186,0.175574,0.283333,0.551714,504
student,step_medium,11.980036,4.918853,873.682540,352.703088,0.829428,0.254864,0.194667,0.489324,567
teacher,step_medium,17.948850,5.785484,908.425101,332.248052,0.964141,0.120739,0.244667,0.509384,494
